EAN,REFERENZA_DES,SEGMENTO_DES,OCCUSO_DES,TIER
4015400327776,Progressi Newborn CP,Progressi,Pannolini,TIER1
4015400471202,Progressi Mini CP,Progressi,Pannolini,TIER1
4015400534600,Progressi Micro,Progressi,Pannolini,TIER1
8001090900180,Progressi Mutandino Midi CP,Progressi Mutandino,Pannolini,TIER1
8001090900227,Progressi Mutandino Maxi CP,Progressi Mutandino,Pannolini,TIER1
8001090900265,Progressi Mutandino Junior CP,Progressi Mutandino,Pannolini,TIER1
8001090900302,Progressi Mutandino XL CP,Progressi Mutandino,Pannolini,TIER1
8001090913647,Progressi Mutandino Maxi VP,Progressi Mutandino,Pannolini,TIER1
8001090913685,Progressi Mutandino Junior VP,Progressi Mutandino,Pannolini,TIER1
8001090913722,Progressi Mutandino XL VP,Progressi Mutandino,Pannolini,TIER1
8001090943286,Il Costumino CP Maxi,Il Costumino,Pannolini,TIER1
8001090943316,Il Costumino CP Junior,Il Costumino,Pannolini,TIER1
8001090956880,BD Mutandino CP Midi,Baby Dry Mutandino,Pannolini,TIER2
8001090956934,BD Mutandino CP Maxi,Baby Dry Mutandino,Pannolini,TIER2
8001090956972,BD Mutandino CP Junior,Baby Dry Mutandino,Pannolini,TIER2
8001090957016,BD Mutandino CP XL,Baby Dry Mutandino,Pannolini,TIER2
8001090957054,BD Mutandino SP Midi,Baby Dry Mutandino,Pannolini,TIER2
8001090957092,BD Mutandino SP Maxi,Baby Dry Mutandino,Pannolini,TIER2
8001090957139,BD Mutandino SP Junior,Baby Dry Mutandino,Pannolini,TIER2
8001090957177,BD Mutandino SP XL,Baby Dry Mutandino,Pannolini,TIER2
8001090957214,BD Mutandino VP Junior,Baby Dry Mutandino,Pannolini,TIER2
8001090957252,BD Mutandino VP XL,Baby Dry Mutandino,Pannolini,TIER2
8001480035072,Progressi Maxi CP,Progressi,Pannolini,TIER1
8001480035089,Progressi Maxi VP,Progressi,Pannolini,TIER1
8001480035249,Progressi Midi Quadri,Progressi,Pannolini,TIER1
8001480035256,Progressi Maxi Quadri,Progressi,Pannolini,TIER1
8001480035263,Progressi Junior Quadri,Progressi,Pannolini,TIER1
8001480035270,Progressi Midi Penta,Progressi,Pannolini,TIER1
8001480035287,Progressi Maxi Penta,Progressi,Pannolini,TIER1
8001480035294,Progressi Junior Penta,Progressi,Pannolini,TIER1
8001480035669,Progressi Box Esa Maxi,Progressi,Pannolini,TIER1
8001480035805,Progressi XL Penta,Progressi,Pannolini,TIER1
8001480040410,Progressi Junior CP,Progressi,Pannolini,TIER1
8001480041325,Progressi Midi CP,Progressi,Pannolini,TIER1
8001480053946,BD Mutandino Special Maxi,Baby Dry Mutandino,Pannolini,TIER2
8001480053960,BD Mutandino Special XL,Baby Dry Mutandino,Pannolini,TIER2
8001480053991,BD Mutandino Esa Maxi,Baby Dry Mutandino,Pannolini,TIER2
8001480054011,Progr. Mut. Maxi Quadri,Progressi Mutandino,Pannolini,TIER1
8001480054028,Progr. Mut. Junior Quadri,Progressi Mutandino,Pannolini,TIER1
8001480058477,BD Esapack Midi,Baby dry,Pannolini,TIER2
8001480058484,BD Esapack Maxi,Baby dry,Pannolini,TIER2
8001480058491,BD Esapack Junior,Baby dry,Pannolini,TIER2
8001480058507,BD Megapack Midi BP,Baby dry,Pannolini,TIER2
8001480058514,BD Megapack Maxi BP,Baby dry,Pannolini,TIER2
8001480058521,BD Megapack Junior BP,Baby dry,Pannolini,TIER2
8001480058538,BD Megapack XL BP,Baby dry,Pannolini,TIER2
8001480058576,BD Mini VP,Baby dry,Pannolini,TIER2
8001480058583,BD 3 X DWCT MINI,Baby dry,Pannolini,TIER2
8001480058828,BD Mutandino VP Midi,Baby Dry Mutandino,Pannolini,TIER2
8001480058835,BD Mutandino VP Maxi,Baby Dry Mutandino,Pannolini,TIER2
8001480059504,Quadripack,Baby Fresh,Wipes,TIER2
8001480059528,Pentapack Wipes,Baby Fresh,Wipes,TIER2
8001480059931,Sensitive Pentapack,Sensitive,Wipes,TIER1
8001480076648,Progressi Large CP,Progressi,Pannolini,TIER1
8001480076662,Progressi XL CP,Progressi,Pannolini,TIER1
8001480077249,Sluna XL VP,Soleluna,Pannolini,TIER3
8001480083080,Travel Pack x 20,Baby Fresh,Wipes,TIER2
8001480083417,Sole e Luna 6x60,SoleeLuna Wipes,Wipes,TIER3
8001480083615,Sole e Luna 9x60,SoleeLuna Wipes,Wipes,TIER3
8001480086890,Progressi Midi VP,Progressi,Pannolini,TIER1
8001480086951,Progressi Junior VP,Progressi,Pannolini,TIER1
8001480086982,Progressi Large VP,Progressi,Pannolini,TIER1
8001480087002,Progressi XL VP,Progressi,Pannolini,TIER1
8001480087255,BD Junior Quadri,Baby dry,Pannolini,TIER2
8001480087323,BD Mini CP,Baby dry,Pannolini,TIER2
8001480087392,BD Junior CP,Baby dry,Pannolini,TIER2
8001480087408,BD Junior VP,Baby dry,Pannolini,TIER2
8001480087422,BD Extralarge CP,Baby dry,Pannolini,TIER2
8001480087439,BD Extralarge VP,Baby dry,Pannolini,TIER2
8001480088504,BD Maxi CP,Baby dry,Pannolini,TIER2
8001480088528,BD Maxi VP,Baby dry,Pannolini,TIER2
8001480088542,BD Maxi Quadri,Baby dry,Pannolini,TIER2
8001480088795,Sluna Midi VP,Soleluna,Pannolini,TIER3
8001480088832,Sluna Maxi VP,Soleluna,Pannolini,TIER3
8001480089761,BD Extralarge Quadri,Baby dry,Pannolini,TIER2
8001480090774,Progressi Newborn VP,Progressi,Pannolini,TIER1
8001480090958,Sluna Mini CP,Soleluna,Pannolini,TIER3
8001480090965,Sluna Midi CP,Soleluna,Pannolini,TIER3
8001480090972,Sluna Maxi CP,Soleluna,Pannolini,TIER3
8001480090989,Sluna Junior CP,Soleluna,Pannolini,TIER3
8001480091269,BD Mini Dowcount,Baby dry,Pannolini,TIER2
8001480091283,BD Maxi Downcount,Baby dry,Pannolini,TIER2
8001480091290,BD Junior Downcount,Baby dry,Pannolini,TIER2
8001480091306,BD Extralarge Downcount,Baby dry,Pannolini,TIER2
8001480091313,Progressi Mini VP,Progressi,Pannolini,TIER1
8001480092198,BD Midi CP,Baby dry,Pannolini,TIER2
8001480092204,BD Midi Downcount,Baby dry,Pannolini,TIER2
8001480092211,BD Midi VP,Baby dry,Pannolini,TIER2
8001480092235,BD Midi Quadri,Baby dry,Pannolini,TIER2
8001480092433,Sole e Luna Midi ESA,Soleluna,Pannolini,TIER3
8001480092440,Sole e Luna Maxi ESA,Soleluna,Pannolini,TIER3
8001480092457,Sole e Luna Junior ESA,Soleluna,Pannolini,TIER3
8001480093485,Progressi XL Quadri,Progressi,Pannolini,TIER1
8001480093591,BD 3 X DWCT MIDI,Baby dry,Pannolini,TIER2
8001480093607,BD 3 X DWCT MAXI,Baby dry,Pannolini,TIER2
8001480093614,BD 3 X DWCT JUNIOR,Baby dry,Pannolini,TIER2
8001480093621,BD 3 X DWCT XL,Baby dry,Pannolini,TIER2
8001480093706,BD Jumbopack Midi,Baby dry,Pannolini,TIER2
8001480093713,BD Jumbopack Maxi,Baby dry,Pannolini,TIER2
8001480093720,BD Jumbopack Junior,Baby dry,Pannolini,TIER2
8001480093935,BD 2 X DWCT MINI,Baby dry,Pannolini,TIER2
8001480093942,BD 2 X DWCT MIDI,Baby dry,Pannolini,TIER2
8001480093959,BD 2 X DWCT MAXI,Baby dry,Pannolini,TIER2
8001480093966,BD 2 X DWCT JUNIOR,Baby dry,Pannolini,TIER2
8001480093973,BD 2 X DWCT XL,Baby dry,Pannolini,TIER2
8001480094291,Sole e Luna XL ESA,Soleluna,Pannolini,TIER3
8001480094567,Progressi Mini Quadri,Progressi,Pannolini,TIER1
8001480131590,Progressi Mutandino XL CP,Progressi Mutandino,Pannolini,TIER1
8001480131606,Progressi Mutandino XL VP,Progressi Mutandino,Pannolini,TIER1
8001480131996,BD Mutandino SP XXL,Baby Dry Mutandino,Pannolini,TIER2
8001480300125,BD Mutandino SP Junior,Baby Dry Mutandino,Pannolini,TIER2
8001480300156,BD Mutandino VP Junior,Baby Dry Mutandino,Pannolini,TIER2
8001480300163,BD Mutandino CP Junior,Baby Dry Mutandino,Pannolini,TIER2
8001480300675,PMP Naturello Mini CP,Naturello,Pannolini,TIER1
8001480300682,PMP Naturello Midi CP,Naturello,Pannolini,TIER1
8001480300699,PMP Naturello Maxi CP,Naturello,Pannolini,TIER1
8001480300705,PMP Naturello Junior CP,Naturello,Pannolini,TIER1
8001480300712,Sole e Luna Midi Trio,Soleluna,Pannolini,TIER3
8001480300729,Sole e Luna Junior Trio,Soleluna,Pannolini,TIER3
8001480300736,Sole e Luna XL Trio,Soleluna,Pannolini,TIER3
8001480300743,BD Extralarge Downcount,Baby dry,Pannolini,TIER2
8001480300774,Sluna XL  CP,Soleluna,Pannolini,TIER3
8001480300781,Sole e Luna Maxi Trio,Soleluna,Pannolini,TIER3
8001480300897,Vario,Vario,Vario,NO TIER
8001480301108,Vario,Vario,Vario,NO TIER
8001480301122,Progr. Mut. Junior Penta,Progressi Mutandino,Pannolini,TIER1
8001480301238,Progr. Mut. XL Quadri,Progressi Mutandino,Pannolini,TIER1
8001480301269,BD MUT 2 X DWCT MAXI,Baby Dry Mutandino,Pannolini,TIER2
8001480301276,BD MUT 2 X DWCT JUNIOR,Baby Dry Mutandino,Pannolini,TIER2
8001480301283,BD MUT 2 X DWCT XL,Baby Dry Mutandino,Pannolini,TIER2
8001480301306,BD Mutandino Special Junior,Baby Dry Mutandino,Pannolini,TIER2
8001480301351,BD Mutandino Esa Junior,Baby Dry Mutandino,Pannolini,TIER2
8001480301825,Progressi Mini Quadri,Progressi,Pannolini,TIER1
8001480301832,Progressi Midi Quadri,Progressi,Pannolini,TIER1
8001480301849,Progressi Maxi Quadri,Progressi,Pannolini,TIER1
8001480301856,Progressi Junior Quadri,Progressi,Pannolini,TIER1
8001480301863,Progressi XL Quadri,Progressi,Pannolini,TIER1
8001480301870,Progressi Midi Penta,Progressi,Pannolini,TIER1
8001480301887,Progressi Maxi Penta,Progressi,Pannolini,TIER1
8001480301894,Progressi Junior Penta,Progressi,Pannolini,TIER1
8001480301900,Progressi XL Penta,Progressi,Pannolini,TIER1
8001480301917,Progressi Box Esa Midi,Progressi,Pannolini,TIER1
8001480301924,Progressi Box Esa Maxi,Progressi,Pannolini,TIER1
8001480301931,Progressi Box Esa Junior,Progressi,Pannolini,TIER1
8001480301948,Progressi Midi CP,Progressi,Pannolini,TIER1
8001480301955,Progressi Maxi CP,Progressi,Pannolini,TIER1
8001480301962,Progressi Junior CP,Progressi,Pannolini,TIER1
8001480301979,Progressi Large CP,Progressi,Pannolini,TIER1
8001480301986,Progressi XL CP,Progressi,Pannolini,TIER1
8001480301993,Progressi Midi VP,Progressi,Pannolini,TIER1
8001480302006,Progressi Maxi VP,Progressi,Pannolini,TIER1
8001480302013,Progressi Junior VP,Progressi,Pannolini,TIER1
8001480302020,Progressi Large VP,Progressi,Pannolini,TIER1
8001480302037,Progressi XL VP,Progressi,Pannolini,TIER1
8001480302174,Il Costumino CP Midi,Il Costumino,Pannolini,TIER1
8001480302280,BD Midi Quadri Downcount,Baby dry,Pannolini,TIER2
8001480302297,BD Maxi Quadri Downcount,Baby dry,Pannolini,TIER2
8001480302303,BD Junior Quadri Downcount,Baby dry,Pannolini,TIER2
8001480302310,BD XL Quadri Downcount,Baby dry,Pannolini,TIER2
8001480302327,Progressi Mini CP,Progressi,Pannolini,TIER1
8001480302334,Progressi Mini VP,Progressi,Pannolini,TIER1
8001480302778,Progressi Mini Triopack,Progressi,Pannolini,TIER1
8001480302891,Progressi Mini Penta,Progressi,Pannolini,TIER1
8001480302969,BD Extralarge Esa,Baby dry,Pannolini,TIER2
8001480303324,BD Esapack Junior,Baby dry,Pannolini,TIER2
8001480303379,Pampers Baby Midi CP,Pampers Baby,Pannolini,NO TIER
8001480303386,Pampers Baby Maxi CP,Pampers Baby,Pannolini,NO TIER
8001480303393,Pampers Baby Junior CP,Pampers Baby,Pannolini,NO TIER
8001480303409,Pampers Baby XL CP,Pampers Baby,Pannolini,NO TIER
8001480303454,PMP Naturello Newborn CP,Naturello,Pannolini,TIER1
8001480303515,BD Extralarge Jumbo,Baby dry,Pannolini,TIER2
8001480303522,BD Penta Midi,Baby dry,Pannolini,TIER2
8001480303539,BD Penta Maxi,Baby dry,Pannolini,TIER2
8001480303546,BD Penta Junior,Baby dry,Pannolini,TIER2
8001480303553,BD Penta XL,Baby dry,Pannolini,TIER2
8001480303751,Sluna Junior VP,Soleluna,Pannolini,TIER3
8001480303768,Sluna Maxi VP,Soleluna,Pannolini,TIER3
8001480303775,Sluna XL VP,Soleluna,Pannolini,TIER3
8001480303782,Sluna Midi VP,Soleluna,Pannolini,TIER3
8001480303904,BD Mutandino Penta XL,Baby Dry Mutandino,Pannolini,TIER2
8001480303911,BD Newborn DWCT,Baby dry,Pannolini,TIER2
8001480304024,SL Mutandino CP Junior,Soleluna Mutandino,Pannolini,TIER3
8001480304031,SL Mutandino CP Maxi,Soleluna Mutandino,Pannolini,TIER3
8001480304048,SL Mutandino CP XL,Soleluna Mutandino,Pannolini,TIER3
8001480304109,BD Mutandino VP XXL,Baby Dry Mutandino,Pannolini,TIER2
8001480304116,BD Mutandino SP XXL,Baby Dry Mutandino,Pannolini,TIER2
8001480304475,BD Mutandino CP XXL,Baby Dry Mutandino,Pannolini,TIER2
8001480304703,BD Mutandino Esa Junior,Baby Dry Mutandino,Pannolini,TIER2
8001480304932,BD Mutandino Penta Maxi,Baby Dry Mutandino,Pannolini,TIER2
8001480305106,Acqua Pura Wipes Quadri,Acqua Pura,Wipes,TIER1
8001480305304,Sluna XL VP,Soleluna,Pannolini,TIER3
8001480305311,Sluna Midi VP,Soleluna,Pannolini,TIER3
8001480305328,Sluna Maxi VP,Soleluna,Pannolini,TIER3
8001480305335,Sluna Junior VP,Soleluna,Pannolini,TIER3
8001480305373,BD Penta Maxi,Baby dry,Pannolini,TIER2
8001480305380,BD Penta Junior,Baby dry,Pannolini,TIER2
8001480305397,BD Esapack Maxi,Baby dry,Pannolini,TIER2
8001480305403,BD Esapack Junior,Baby dry,Pannolini,TIER2
8001480305410,BD Jumbopack Maxi,Baby dry,Pannolini,TIER2
8001480305427,BD Jumbopack Junior,Baby dry,Pannolini,TIER2
8001480305441,BD Maxi Quadri,Baby dry,Pannolini,TIER2
8001480305458,BD Maxi CP,Baby dry,Pannolini,TIER2
8001480305465,BD Maxi Quadri Downcount,Baby dry,Pannolini,TIER2
8001480305472,BD Junior Quadri Downcount,Baby dry,Pannolini,TIER2
8001480305496,Green Gen. Insert Normal,Green Generation,Pannolini,TIER1
8001480305502,Green Gen. Insert Extra,Green Generation,Pannolini,TIER1
8001480305557,BD Maxi Downcount,Baby dry,Pannolini,TIER2
8001480305564,BD Junior Downcount,Baby dry,Pannolini,TIER2
8001480305571,BD Junior CP,Baby dry,Pannolini,TIER2
8001480305588,BD Maxi VP,Baby dry,Pannolini,TIER2
8001480305595,BD Junior VP,Baby dry,Pannolini,TIER2
8001480305601,BD 2 X DWCT MAXI,Baby dry,Pannolini,TIER2
8001480305618,BD 2 X DWCT JUNIOR,Baby dry,Pannolini,TIER2
8001480305625,BD 3 X DWCT MAXI,Baby dry,Pannolini,TIER2
8001480305632,BD 3 X DWCT JUNIOR,Baby dry,Pannolini,TIER2
8001480305649,BD Junior Quadri,Baby dry,Pannolini,TIER2
8001480306035,Progressi Mini e-commerce,Progressi,Pannolini,TIER1
8001480306042,Progressi Midi e-commerce,Progressi,Pannolini,TIER1
8001480306059,Progressi Maxi e-commerce,Progressi,Pannolini,TIER1
8001480306066,Progressi Junior e-commerce,Progressi,Pannolini,TIER1
8001480306073,Progressi Large e-commerce,Progressi,Pannolini,TIER1
8001480306097,Progr. Mut. Maxi e-commerce,Progressi Mutandino,Pannolini,TIER1
8001480306103,Progr. Mut. Junior e-commerce,Progressi Mutandino,Pannolini,TIER1
8001480306110,Progr. Mut. XL e-commerce,Progressi Mutandino,Pannolini,TIER1
8001480306127,Progr. Mut. Midi e-commerce,Progressi Mutandino,Pannolini,TIER1
8001480306219,BD Mutandino VP Midi e-commerce,Baby Dry Mutandino,Pannolini,TIER2
8001480306226,BD Mutandino VP Maxi e-commerce,Baby Dry Mutandino,Pannolini,TIER2
8001480306233,BD Mutandino VP XXL e-commerce,Baby Dry Mutandino,Pannolini,TIER2
8001480306240,BD Mutandino VP Junior e-commerce,Baby Dry Mutandino,Pannolini,TIER2
8001480306257,BD Mutandino VP XL e-commerce,Baby Dry Mutandino,Pannolini,TIER2
8001480306264,Green Gen. Trial Kit,Green Generation,Pannolini,TIER1
8001480600003,Gigapack,Baby Fresh,Wipes,TIER2
8001480600201,Acqua Pura Wipes Carry Pack,Acqua Pura,Wipes,TIER1
8001480600287,Sole e Luna x 46/50,SoleeLuna Wipes,Wipes,TIER3
8001480600300,Sensitive quadri,Sensitive,Wipes,TIER1
8001480600324,Acqua Pura Wipes Penta,Acqua Pura,Wipes,TIER1
8001480601192,Sensitive Esapack,Sensitive,Wipes,TIER1
8001480785526,Sluna Junior VP,Soleluna,Pannolini,TIER3
8410175053237,Biscotti solubili 1x320 gr,Biscotti,Biscotti solubili,NO TIER
